#Replicon Name,Replicon Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein name
chr,NC_004631.1,57341,57790,+,-,-,T_RS00245,WP_000047269.1,149,FKBP-type peptidyl-prolyl cis-trans isomerase
chr,NC_004631.1,57793,58743,+,-,-,T_RS00250,WP_001166426.1,316,4-hydroxy-3-methylbut-2-enyl diphosphate reductase
chr,NC_004631.1,58943,60145,+,-,-,T_RS00255,WP_000516332.1,400,hypothetical protein
chr,NC_004631.1,60161,61081,+,-,-,T_RS00260,WP_000127280.1,306,non-specific ribonucleoside hydrolase RihC
chr,NC_004631.1,61103,61789,-,-,dpiA,T_RS00265,WP_000377415.1,228,response regulator
chr,NC_004631.1,61791,63410,-,-,-,T_RS00270,WP_011106932.1,539,sensor histidine kinase
chr,NC_004631.1,63545,64846,-,-,-,T_RS00275,WP_000444844.1,433,oxalacetate decarboxylase subunit beta
chr,NC_004631.1,64859,66634,-,-,-,T_RS00280,WP_000150450.1,591,oxaloacetate decarboxylase alpha chain
chr,NC_004631.1,66650,66889,-,-,-,T_RS00285,WP_001001151.1,79,oxaloacetate decarboxylase subunit gamma
chr,NC_004631.1,67048,68388,-,-,-,T_RS00290,WP_000183602.1,446,citrate:sodium symporter
chr,NC_004631.1,68633,69676,+,-,-,T_RS00295,WP_001181444.1,347,[citrate (pro-3S)-lyase] ligase [Salmonella enterica]
chr,NC_004631.1,69706,69999,+,-,-,T_RS00300,WP_000691461.1,97,citrate lyase ACP
chr,NC_004631.1,69996,70865,+,-,-,T_RS00305,WP_001247810.1,289,citrate (pro-3S)-lyase subunit beta
chr,NC_004631.1,70876,72396,+,-,-,T_RS00310,WP_000665586.1,506,citrate lyase subunit alpha
chr,NC_004631.1,72396,72947,+,-,-,T_RS00315,WP_000679050.1,183,citrate lyase holo
chr,NC_004631.1,72925,73833,+,-,-,T_RS00320,WP_001103241.1,302,triphosphoribosyl-dephospho-CoA synthase
chr,NC_004631.1,74013,74834,+,-,-,T_RS00325,WP_000544030.1,273,4-hydroxy-tetrahydrodipicolinate reductase
chr,NC_004631.1,75687,76835,+,-,-,T_RS00330,WP_000597277.1,382,carbamoyl-phosphate synthase small subunit
chr,NC_004631.1,76851,80078,+,-,carB,T_RS00335,WP_001126321.1,1075,carbamoyl-phosphate synthase large chain
chr,NC_004631.1,80352,80747,+,-,-,T_RS00340,WP_000333324.1,131,carnitine metabolism transcriptional regulator CaiF
chr,NC_004631.1,80825,81421,-,-,-,T_RS00345,WP_000122863.1,198,MULTISPECIES: carnitine operon protein CaiE
chr,NC_004631.1,81533,82318,-,-,-,T_RS00350,WP_000004377.1,261,carnitinyl-CoA dehydratase
chr,NC_004631.1,82372,83925,-,-,-,T_RS00355,WP_000355790.1,517,ATP-dependent acyl-CoA ligase
chr,NC_004631.1,83988,85205,-,-,-,T_RS00360,WP_001016209.1,405,L-carnitine CoA-transferase
chr,NC_004631.1,85317,86459,-,-,-,T_RS00365,WP_000347135.1,380,crotonobetainyl-CoA dehydrogenase
chr,NC_004631.1,86494,88011,-,-,-,T_RS00370,WP_000787084.1,505,L-carnitine/gamma-butyrobetaine antiporter
chr,NC_004631.1,88239,88424,+,-,-,T_RS00375,WP_000264222.1,61,hypothetical protein
chr,NC_004631.1,88492,89262,+,-,-,T_RS00380,WP_000692187.1,256,protein FixA
chr,NC_004631.1,89278,90219,+,-,-,T_RS00385,WP_001032189.1,313,protein FixB
chr,NC_004631.1,90269,91555,+,-,-,T_RS00390,WP_001287774.1,428,FAD-dependent oxidoreductase
chr,NC_004631.1,91552,91839,+,-,-,T_RS00395,WP_000203737.1,95,ferredoxin-like protein FixX
chr,NC_004631.1,91987,93327,+,-,-,T_RS00400,WP_001136168.1,446,MFS transporter
chr,NC_004631.1,93416,93646,+,-,-,T_RS00405,WP_001172089.1,76,MULTISPECIES: YgdI/YgdR family lipoprotein
chr,NC_004631.1,93931,94353,+,-,-,T_RS00410,WP_000768932.1,140,hypothetical protein
chr,NC_004631.1,94577,94867,-,-,-,T_RS00415,WP_000745961.1,96,DUF1471 domain-containing protein
chr,NC_004631.1,95077,95271,+,-,-,T_RS00420,WP_010989107.1,64,hypothetical protein
chr,NC_004631.1,95765,95989,+,-,-,T_RS23715,WP_000066323.1,74,"hypothetical protein, partial"
chr,NC_004631.1,97737,97919,-,-,-,T_RS25265,WP_001139406.1,60,hypothetical protein
chr,NC_004631.1,97849,98112,+,-,-,T_RS23720,WP_077905065.1,87,hypothetical protein
chr,NC_004631.1,98060,98590,+,-,-,T_RS00435,WP_000600696.1,176,glutathione-regulated potassium-efflux system ancillary protein KefF
chr,NC_004631.1,98583,100445,+,-,-,T_RS00440,WP_000377172.1,620,glutathione-regulated potassium-efflux system protein KefC
chr,NC_004631.1,100644,101123,+,-,folA,T_RS00445,WP_000624378.1,159,MULTISPECIES: type 3 dihydrofolate reductase
chr,NC_004631.1,101219,102067,-,-,-,T_RS00450,WP_000257211.1,282,bis(5\'-nucleosyl)-tetraphosphatase (symmetrical)
chr,NC_004631.1,102078,102455,-,-,-,T_RS00455,WP_000610896.1,125,Co2+/Mg2+ efflux protein ApaG
chr,NC_004631.1,102458,103279,-,-,ksgA,T_RS00460,WP_001065397.1,273,ribosomal RNA small subunit methyltransferase A
chr,NC_004631.1,103276,104265,-,-,-,T_RS00465,WP_000093001.1,329,4-hydroxythreonine-4-phosphate dehydrogenase 1
chr,NC_004631.1,104265,105551,-,-,-,T_RS00470,WP_000800482.1,428,chaperone SurA
chr,NC_004631.1,105605,107959,-,-,-,T_RS00475,WP_000746124.1,784,LPS-assembly protein LptD
chr,NC_004631.1,108213,109025,+,-,-,T_RS00480,WP_001200595.1,270,MULTISPECIES: molecular chaperone DjlA
chr,NC_004631.1,109120,109779,-,-,-,T_RS00485,WP_000525195.1,219,bifunctional tRNA pseudouridine(32) synthase/ribosomal large subunit pseudouridine synthase RluA
chr,NC_004631.1,109791,112697,-,-,-,T_RS00490,WP_001116972.1,968,RNA polymerase-associated protein RapA
chr,NC_004631.1,112871,115222,-,-,-,T_RS00495,WP_000035599.1,783,DNA polymerase II
chr,NC_004631.1,115266,115496,-,-,-,T_RS00500,WP_001681725.1,76,hypothetical protein
chr,NC_004631.1,115562,116002,-,-,-,T_RS00505,WP_000458341.1,146,IS200/IS605-like element ISSen6 family transposase
chr,NC_004631.1,116022,117230,+,-,-,T_RS00510,WP_001762563.1,402,transposase
chr,NC_004631.1,117300,117704,-,-,-,T_RS00515,WP_000877513.1,134,"YdcF family protein, partial"
chr,NC_004631.1,118222,118641,+,-,-,T_RS00520,WP_001103153.1,139,DUF4751 domain-containing protein
chr,NC_004631.1,118647,119342,-,-,-,T_RS00525,WP_000888641.1,231,L-ribulose-5-phosphate 4-epimerase
chr,NC_004631.1,119483,120985,-,-,-,T_RS00530,WP_000151698.1,500,L-arabinose isomerase
chr,NC_004631.1,120996,122705,-,-,-,T_RS00535,WP_000951805.1,569,ribulokinase
chr,NC_004631.1,123046,123891,+,-,-,T_RS00540,WP_000852388.1,281,arabinose operon transcriptional regulator AraC
chr,NC_004631.1,124010,124777,+,-,-,T_RS00545,WP_001148375.1,255,DedA family protein
chr,NC_004631.1,124816,125523,-,-,-,T_RS00550,WP_000915973.1,235,thiamine import ATP-binding protein ThiQ
chr,NC_004631.1,125507,127117,-,-,thiP,T_RS00555,WP_000235645.1,536,thiamine/thiamine pyrophosphate ABC transporter permease ThiP
chr,NC_004631.1,127093,128076,-,-,-,T_RS00560,WP_000915326.1,327,thiamine ABC transporter substrate binding subunit
chr,NC_004631.1,128254,129912,-,-,-,T_RS00565,WP_001139028.1,552,transcriptional regulator
chr,NC_004631.1,130005,130127,+,-,-,T_RS00570,WP_001248755.1,40,MULTISPECIES: glucose uptake inhibitor SgrT
chr,NC_004631.1,130462,131067,-,-,-,T_RS00575,WP_000818262.1,201,3-isopropylmalate dehydratase small subunit
chr,NC_004631.1,131078,132478,-,-,-,T_RS00580,WP_001140632.1,466,3-isopropylmalate dehydratase large subunit
chr,NC_004631.1,132481,133572,-,-,-,T_RS00585,WP_000042333.1,363,3-isopropylmalate dehydrogenase
chr,NC_004631.1,133572,135143,-,-,-,T_RS00590,WP_000082813.1,523,2-isopropylmalate synthase
chr,NC_004631.1,135231,135317,-,-,-,T_RS00595,WP_001762463.1,28,leu operon leader peptide
chr,NC_004631.1,135975,136919,+,-,-,T_RS00600,WP_001115425.1,314,transcriptional regulator
chr,NC_004631.1,137214,138965,+,-,-,T_RS00605,WP_077905066.1,583,acetolactate synthase 3 large subunit
chr,NC_004631.1,138968,139459,+,-,-,T_RS00610,WP_001750262.1,163,acetolactate synthase small subunit
chr,NC_004631.1,139743,140747,+,-,-,T_RS00615,WP_000762406.1,334,MULTISPECIES: catabolite repressor/activator
chr,NC_004631.1,141353,141811,+,-,-,T_RS00620,WP_000488291.1,152,division/cell wall cluster transcriptional repressor MraZ
chr,NC_004631.1,141813,142754,+,-,-,T_RS00625,WP_000970440.1,313,16S rRNA (cytosine(1402)-N(4))-methyltransferase
chr,NC_004631.1,142751,143116,+,-,-,T_RS00630,WP_000625651.1,121,MULTISPECIES: cell division protein FtsL
chr,NC_004631.1,143132,144898,+,-,-,T_RS00635,WP_000642235.1,588,MULTISPECIES: peptidoglycan glycosyltransferase FtsI
chr,NC_004631.1,144885,146372,+,-,-,T_RS00640,WP_000775075.1,495,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase"
chr,NC_004631.1,146369,147727,+,-,-,T_RS00645,WP_000626645.1,452,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
chr,NC_004631.1,147721,148803,+,-,-,T_RS00650,WP_000964138.1,360,MULTISPECIES: phospho-N-acetylmuramoyl-pentapeptide-transferase
chr,NC_004631.1,148806,150122,+,-,-,T_RS00655,WP_000796441.1,438,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
chr,NC_004631.1,150122,151366,+,-,-,T_RS00660,WP_001239803.1,414,MULTISPECIES: cell division protein FtsW
chr,NC_004631.1,151363,152430,+,-,-,T_RS00665,WP_000016622.1,355,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase
chr,NC_004631.1,152549,154024,+,-,-,T_RS00670,WP_001096072.1,491,UDP-N-acetylmuramate--L-alanine ligase
chr,NC_004631.1,154017,154937,+,-,ddl,T_RS00675,WP_000763895.1,306,D-alanine--D-alanine ligase B
chr,NC_004631.1,154939,155769,+,-,-,T_RS00680,WP_000075728.1,276,MULTISPECIES: cell division protein FtsQ
chr,NC_004631.1,155766,157028,+,-,-,T_RS00685,WP_000588463.1,420,MULTISPECIES: cell division protein FtsA
chr,NC_004631.1,157089,158240,+,-,-,T_RS00690,WP_000462798.1,383,cell division protein FtsZ
chr,NC_004631.1,158341,159258,+,-,-,T_RS00695,WP_000595474.1,305,UDP-3-O-acyl-N-acetylglucosamine deacetylase
chr,NC_004631.1,159512,160036,+,-,-,T_RS00700,WP_077248409.1,174,secA regulator SecM
chr,NC_004631.1,160098,162803,+,-,-,T_RS00705,WP_000905763.1,901,protein translocase subunit SecA
chr,NC_004631.1,162959,163354,+,-,-,T_RS00710,WP_000736063.1,131,8-oxo-dGTP diphosphatase MutT
chr,NC_004631.1,163388,164377,-,-,-,T_RS00715,WP_001200039.1,329,aldo/keto reductase
chr,NC_004631.1,164463,165404,+,-,-,T_RS00720,WP_001802116.1,313,LysR family transcriptional regulator
chr,NC_004631.1,165401,165592,-,-,-,T_RS00725,WP_001286419.1,63,MULTISPECIES: DNA gyrase inhibitor YacG
chr,NC_004631.1,165602,166345,-,-,-,T_RS00730,WP_000557441.1,247,cell division protein ZapD
chr,NC_004631.1,166345,166965,-,-,-,T_RS00735,WP_001270913.1,206,dephospho-CoA kinase
chr,NC_004631.1,167191,168234,+,-,-,T_RS00740,WP_001217357.1,347,guanosine monophosphate reductase
chr,NC_004631.1,168265,169467,-,-,-,T_RS00745,WP_000114107.1,400,type IV pilin biogenesis protein
chr,NC_004631.1,169457,170842,-,-,-,T_RS00750,WP_000650611.1,461,type II secretion system protein GspE
chr,NC_004631.1,170852,171289,-,-,-,T_RS00755,WP_000414989.1,145,prepilin peptidase-dependent pilin
chr,NC_004631.1,171511,172404,-,-,-,T_RS00760,WP_001135134.1,297,carboxylating nicotinate-nucleotide diphosphorylase
chr,NC_004631.1,172492,173055,+,-,-,T_RS00765,WP_000936326.1,187,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD"
chr,NC_004631.1,173052,173906,+,-,-,T_RS00770,WP_000172040.1,284,beta-lactamase regulator AmpE
chr,NC_004631.1,173998,174948,-,-,-,T_RS00775,WP_000024772.1,316,glycosyl hydrolase
chr,NC_004631.1,174948,176354,-,-,-,T_RS00780,WP_000357549.1,468,MFS transporter
chr,NC_004631.1,176518,177888,-,-,-,T_RS00785,WP_000378215.1,456,aromatic amino acid transporter AroP
chr,NC_004631.1,178454,179218,+,-,-,T_RS00790,WP_000331771.1,254,MULTISPECIES: pyruvate dehydrogenase complex repressor
chr,NC_004631.1,179378,182041,+,-,-,T_RS00795,WP_000003851.1,887,"pyruvate dehydrogenase (acetyl-transferring), homodimeric type"
chr,NC_004631.1,182056,183945,+,-,aceF,T_RS00800,WP_000963602.1,629,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase
chr,NC_004631.1,184147,185571,+,-,-,T_RS00805,WP_001527420.1,474,dihydrolipoyl dehydrogenase
chr,NC_004631.1,185860,186144,+,-,-,T_RS00810,WP_000765363.1,94,outer membrane protein
chr,NC_004631.1,186182,186973,-,-,-,T_RS00815,WP_000757452.1,263,DUF2950 family protein
chr,NC_004631.1,186986,188608,-,-,-,T_RS00820,WP_000174529.1,540,DUF3300 domain-containing protein
chr,NC_004631.1,188997,191594,+,-,-,T_RS00825,WP_000888954.1,865,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
chr,NC_004631.1,191782,192144,+,-,-,T_RS00830,WP_000384314.1,120,UPF0231 family protein
chr,NC_004631.1,192379,193332,+,-,-,T_RS00835,WP_001022089.1,317,2-keto-3-deoxygluconate permease 1
chr,NC_004631.1,193329,194600,+,-,-,T_RS00840,WP_000783298.1,423,D-threonate kinase
chr,NC_004631.1,194590,195573,+,-,-,T_RS00845,WP_000448742.1,327,4-hydroxythreonine-4-phosphate dehydrogenase 2
chr,NC_004631.1,195583,196350,+,-,-,T_RS00850,WP_000678254.1,255,DeoR/GlpR transcriptional regulator
chr,NC_004631.1,196380,197174,-,-,-,T_RS00855,WP_000734279.1,264,S-adenosylmethionine decarboxylase proenzyme
chr,NC_004631.1,197195,198055,-,-,-,T_RS00860,WP_000829972.1,286,polyamine aminopropyltransferase
chr,NC_004631.1,198162,198509,-,-,-,T_RS00865,WP_000846613.1,115,MULTISPECIES: hypothetical protein
chr,NC_004631.1,198711,200321,+,-,-,T_RS00870,WP_000946058.1,536,multicopper oxidase
chr,NC_004631.1,200399,202789,-,-,-,T_RS00875,WP_000829735.1,796,"membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family"
chr,NC_004631.1,202995,203531,+,-,-,T_RS00880,WP_000683333.1,178,hypoxanthine phosphoribosyltransferase
chr,NC_004631.1,203589,204251,-,-,-,T_RS00885,WP_000651585.1,220,carbonate dehydratase
chr,NC_004631.1,204360,205286,+,-,-,T_RS00890,WP_000150629.1,308,ABC transporter ATP-binding protein
chr,NC_004631.1,205283,206053,+,-,-,T_RS00895,WP_000983419.1,256,ABC transporter permease
chr,NC_004631.1,206158,206598,+,-,-,T_RS00900,WP_000901966.1,146,PTS sugar transporter subunit IIA
chr,NC_004631.1,206660,207889,+,-,-,T_RS00905,WP_000245324.1,409,polysaccharide deacetylase family protein
chr,NC_004631.1,207896,208276,-,-,-,T_RS00910,WP_000621526.1,126,MULTISPECIES: aspartate 1-decarboxylase
chr,NC_004631.1,208371,209225,-,-,-,T_RS00915,WP_000905353.1,284,pantoate--beta-alanine ligase
chr,NC_004631.1,209351,210145,-,-,-,T_RS00920,WP_000043003.1,264,3-methyl-2-oxobutanoate hydroxymethyltransferase
chr,NC_004631.1,210255,211430,-,-,-,T_RS00925,WP_000924983.1,391,fimbrial protein
chr,NC_004631.1,211467,212063,-,-,-,T_RS00930,WP_010989108.1,198,fimbrial protein
chr,NC_004631.1,212063,212677,-,-,-,T_RS00935,WP_010989109.1,204,fimbrial protein StaE
chr,NC_004631.1,212686,213252,-,-,-,T_RS00940,WP_000827925.1,188,fimbrial protein
chr,NC_004631.1,213239,215845,-,-,-,T_RS00945,WP_001125008.1,868,outer membrane usher protein
chr,NC_004631.1,215905,216639,-,-,-,T_RS00950,WP_000967611.1,244,fimbrial chaperone
chr,NC_004631.1,216818,217402,-,-,-,T_RS00955,WP_000709193.1,194,fimbrial protein
chr,NC_004631.1,217797,218276,-,-,-,T_RS00960,WP_000150775.1,159,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
chr,NC_004631.1,218273,219691,-,-,-,T_RS00965,WP_000174623.1,472,polynucleotide adenylyltransferase PcnB
chr,NC_004631.1,219832,220728,-,-,-,T_RS00970,WP_001763945.1,298,tRNA glutamyl-Q(34) synthetase GluQRS
chr,NC_004631.1,220797,221252,-,-,-,T_RS00975,WP_001155232.1,151,MULTISPECIES: RNA polymerase-binding transcription factor DksA
chr,NC_004631.1,221429,222133,-,-,-,T_RS00980,WP_000899414.1,234,DNA/RNA nuclease SfsA
chr,NC_004631.1,222150,222680,-,-,-,T_RS00985,WP_001294175.1,176,"RNA 2\',3\'-cyclic phosphodiesterase"
chr,NC_004631.1,222708,225182,+,-,-,T_RS00990,WP_000938536.1,824,ATP-dependent helicase HrpB
chr,NC_004631.1,225323,227845,+,-,-,T_RS00995,WP_000918132.1,840,bifunctional glycosyl transferase/transpeptidase
chr,NC_004631.1,230378,231175,+,-,-,T_RS01005,WP_001157197.1,265,Fe3+-hydroxamate ABC transporter ATP-binding protein FhuC
chr,NC_004631.1,231175,232065,+,-,-,T_RS01010,WP_001208784.1,296,Fe(3+)-hydroxamate ABC transporter substrate-binding protein FhuD
chr,NC_004631.1,232062,234119,+,-,-,T_RS01015,WP_000088060.1,685,Fe(3+)-hydroxamate ABC transporter permease FhuB
chr,NC_004631.1,234210,235490,-,-,-,T_RS01020,WP_000045264.1,426,"glutamate-1-semialdehyde 2,1-aminomutase"
chr,NC_004631.1,235660,237081,+,-,-,T_RS01025,WP_000845433.1,473,ClC family H(+)/Cl(-) exchange transporter
chr,NC_004631.1,237163,237507,+,-,-,T_RS01030,WP_001278668.1,114,MULTISPECIES: iron-sulfur cluster insertion protein ErpA
chr,NC_004631.1,237608,238231,-,-,-,T_RS01035,WP_000964234.1,207,MULTISPECIES: hypothetical protein
chr,NC_004631.1,238268,239068,-,-,-,T_RS01040,WP_001118833.1,266,cobalamin-binding protein
chr,NC_004631.1,239061,239759,-,-,-,T_RS01045,WP_000689821.1,232,5\'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
chr,NC_004631.1,239844,241361,+,-,-,T_RS01050,WP_000146450.1,505,deoxyguanosinetriphosphate triphosphohydrolase
chr,NC_004631.1,241491,242918,+,-,-,T_RS01055,WP_000753959.1,475,serine endoprotease DegP
chr,NC_004631.1,243071,244228,+,-,-,T_RS01060,WP_000929458.1,385,CdaR family transcriptional regulator
chr,NC_004631.1,244317,244703,-,-,-,T_RS01065,WP_000272193.1,128,MULTISPECIES: DUF3461 family protein
chr,NC_004631.1,245095,246252,+,-,-,T_RS01070,WP_001681865.1,385,MFS transporter
chr,NC_004631.1,246289,247113,-,-,-,T_RS01075,WP_001186669.1,274,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
chr,NC_004631.1,247143,249815,-,-,-,T_RS01080,WP_001094518.1,890,bifunctional uridylyltransferase/uridylyl-removing protein
chr,NC_004631.1,249928,250722,-,-,-,T_RS01085,WP_001018214.1,264,methionine aminopeptidase
chr,NC_004631.1,251172,251897,+,-,-,T_RS01090,WP_000246886.1,241,30S ribosomal protein S2
chr,NC_004631.1,252155,253006,+,-,-,T_RS01095,WP_000808106.1,283,elongation factor Ts
chr,NC_004631.1,253151,253876,+,-,-,T_RS01100,WP_000224567.1,241,MULTISPECIES: UMP kinase
chr,NC_004631.1,254023,254580,+,-,-,T_RS01105,WP_000622423.1,185,MULTISPECIES: ribosome-recycling factor
chr,NC_004631.1,254722,255918,+,-,-,T_RS01110,WP_000811892.1,398,1-deoxy-D-xylulose-5-phosphate reductoisomerase
chr,NC_004631.1,256001,256204,+,-,-,T_RS23745,WP_071525133.1,67,hypothetical protein
chr,NC_004631.1,256231,256989,+,-,-,T_RS01115,WP_000947409.1,252,"(2E,6E)-farnesyl-diphosphate-specific ditrans,polycis-undecaprenyl-diphosphate synthase"
chr,NC_004631.1,257002,257859,+,-,-,T_RS01120,WP_000922422.1,285,MULTISPECIES: phosphatidate cytidylyltransferase
chr,NC_004631.1,257871,259223,+,-,-,T_RS01125,WP_000949016.1,450,sigma E protease regulator RseP
chr,NC_004631.1,259255,261666,+,-,-,T_RS01130,WP_001240921.1,803,outer membrane protein assembly factor BamA
chr,NC_004631.1,261789,262274,+,-,-,T_RS01135,WP_000758966.1,161,chaperone protein Skp
chr,NC_004631.1,262278,263303,+,-,lpxD,T_RS01140,WP_001139265.1,341,MULTISPECIES: UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
chr,NC_004631.1,263409,263864,+,-,-,T_RS01145,WP_000210741.1,151,MULTISPECIES: beta-hydroxyacyl-ACP dehydratase
chr,NC_004631.1,263868,264656,+,-,-,T_RS01150,WP_000566033.1,262,acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase
chr,NC_004631.1,264656,265804,+,-,-,T_RS01155,WP_000741216.1,382,lipid-A-disaccharide synthase
chr,NC_004631.1,265801,266397,+,-,-,T_RS01160,WP_000569412.1,198,ribonuclease HII
chr,NC_004631.1,266421,269903,+,-,-,T_RS01165,WP_001294828.1,1160,DNA polymerase III subunit alpha
chr,NC_004631.1,269916,270875,+,-,-,T_RS01170,WP_000055753.1,319,acetyl-CoA carboxylase carboxyl transferase subunit alpha
chr,NC_004631.1,271067,271525,+,-,-,T_RS01175,WP_000502118.1,152,MULTISPECIES: IS200/IS605-like element IS200F family transposase
chr,NC_004631.1,273604,275745,+,-,-,T_RS01185,WP_001021059.1,713,lysine decarboxylase LdcC
chr,NC_004631.1,275801,276190,+,-,-,T_RS01190,WP_000901086.1,129,VOC family protein
