#Replicon Name,Replicon Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein name
chr,NC_011294.1,109571,112477,-,-,-,SEN_RS00495,WP_001116966.1,968,RNA polymerase-associated protein RapA
chr,NC_011294.1,112651,115002,-,-,-,SEN_RS00500,WP_000035719.1,783,DNA polymerase II
chr,NC_011294.1,115046,115666,-,-,-,SEN_RS00505,WP_000877512.1,206,YdcF family protein
chr,NC_011294.1,116184,116603,+,-,-,SEN_RS00510,WP_001103154.1,139,DUF4751 domain-containing protein
chr,NC_011294.1,116609,117304,-,-,-,SEN_RS00515,WP_000888705.1,231,L-ribulose-5-phosphate 4-epimerase
chr,NC_011294.1,117445,118947,-,-,-,SEN_RS00520,WP_000151703.1,500,L-arabinose isomerase
chr,NC_011294.1,118958,120667,-,-,-,SEN_RS00525,WP_000951810.1,569,ribulokinase
chr,NC_011294.1,121007,121852,+,-,-,SEN_RS00530,WP_000852387.1,281,MULTISPECIES: arabinose operon regulatory protein
chr,NC_011294.1,121971,122738,+,-,-,SEN_RS00535,WP_001148372.1,255,DedA family protein
chr,NC_011294.1,122777,123484,-,-,-,SEN_RS00540,WP_000915966.1,235,thiamine import ATP-binding protein ThiQ
chr,NC_011294.1,123468,125078,-,-,thiP,SEN_RS00545,WP_000235640.1,536,thiamine/thiamine pyrophosphate ABC transporter permease ThiP
chr,NC_011294.1,125054,126037,-,-,-,SEN_RS00550,WP_000915326.1,327,thiamine ABC transporter substrate binding subunit
chr,NC_011294.1,126215,127873,-,-,-,SEN_RS00555,WP_001139043.1,552,transcriptional regulator SgrR
chr,NC_011294.1,127966,128088,+,-,-,SEN_RS00560,WP_001248755.1,40,MULTISPECIES: glucose uptake inhibitor SgrT
chr,NC_011294.1,128408,128689,+,-,-,SEN_RS00565,WP_000755258.1,93,hypothetical protein
chr,NC_011294.1,128743,129348,-,-,-,SEN_RS00570,WP_000818272.1,201,3-isopropylmalate dehydratase small subunit
chr,NC_011294.1,129359,130759,-,-,-,SEN_RS00575,WP_001140632.1,466,3-isopropylmalate dehydratase large subunit
chr,NC_011294.1,130762,131853,-,-,-,SEN_RS00580,WP_000042328.1,363,3-isopropylmalate dehydrogenase
chr,NC_011294.1,131853,133424,-,-,-,SEN_RS00585,WP_000082819.1,523,2-isopropylmalate synthase
chr,NC_011294.1,133512,133598,-,-,-,SEN_RS00590,WP_001575587.1,28,leu operon leader peptide
chr,NC_011294.1,134255,135199,+,-,-,SEN_RS00595,WP_001115423.1,314,transcriptional regulator LeuO
chr,NC_011294.1,135494,137245,+,-,-,SEN_RS00600,WP_016696941.1,583,acetolactate synthase 3 large subunit
chr,NC_011294.1,137248,137739,+,-,-,SEN_RS00605,WP_001563086.1,163,acetolactate synthase small subunit
chr,NC_011294.1,138023,139027,+,-,-,SEN_RS00610,WP_000762406.1,334,MULTISPECIES: catabolite repressor/activator
chr,NC_011294.1,139633,140091,+,-,-,SEN_RS00615,WP_000488294.1,152,MULTISPECIES: division/cell wall cluster transcriptional repressor MraZ
chr,NC_011294.1,140093,141034,+,-,-,SEN_RS00620,WP_000970444.1,313,ribosomal RNA small subunit methyltransferase H
chr,NC_011294.1,141031,141396,+,-,-,SEN_RS00625,WP_000625651.1,121,MULTISPECIES: cell division protein FtsL
chr,NC_011294.1,141412,143178,+,-,-,SEN_RS00630,WP_000642235.1,588,MULTISPECIES: peptidoglycan glycosyltransferase FtsI
chr,NC_011294.1,143165,144652,+,-,-,SEN_RS00635,WP_000775071.1,495,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase"
chr,NC_011294.1,144649,146007,+,-,-,SEN_RS00640,WP_000626630.1,452,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
chr,NC_011294.1,146001,147083,+,-,-,SEN_RS00645,WP_000964141.1,360,phospho-N-acetylmuramoyl-pentapeptide-transferase
chr,NC_011294.1,147086,148402,+,-,-,SEN_RS00650,WP_000796445.1,438,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
chr,NC_011294.1,148402,149646,+,-,-,SEN_RS00655,WP_001239803.1,414,MULTISPECIES: cell division protein FtsW
chr,NC_011294.1,149643,150710,+,-,-,SEN_RS00660,WP_000016623.1,355,undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase
chr,NC_011294.1,150829,152304,+,-,-,SEN_RS00665,WP_001096072.1,491,UDP-N-acetylmuramate--L-alanine ligase
chr,NC_011294.1,152297,153217,+,-,ddl,SEN_RS00670,WP_000763894.1,306,D-alanine--D-alanine ligase
chr,NC_011294.1,153219,154049,+,-,-,SEN_RS00675,WP_000075728.1,276,MULTISPECIES: cell division protein FtsQ
chr,NC_011294.1,154046,155308,+,-,-,SEN_RS00680,WP_000588463.1,420,MULTISPECIES: cell division protein FtsA
chr,NC_011294.1,155369,156520,+,-,-,SEN_RS00685,WP_000462790.1,383,cell division protein FtsZ
chr,NC_011294.1,156621,157538,+,-,-,SEN_RS00690,WP_000595487.1,305,UDP-3-O
chr,NC_011294.1,157790,158314,+,-,-,SEN_RS00695,WP_077248240.1,174,secA regulator SecM
chr,NC_011294.1,158376,161081,+,-,-,SEN_RS00700,WP_000905758.1,901,preprotein translocase subunit SecA
chr,NC_011294.1,161233,161628,+,-,-,SEN_RS00705,WP_000736053.1,131,8-oxo-dGTP diphosphatase MutT
chr,NC_011294.1,162736,163677,+,-,-,SEN_RS00715,WP_001538994.1,313,LysR family transcriptional regulator
chr,NC_011294.1,163674,163865,-,-,-,SEN_RS00720,WP_001286419.1,63,MULTISPECIES: DNA gyrase inhibitor YacG
chr,NC_011294.1,163875,164618,-,-,-,SEN_RS00725,WP_000557441.1,247,cell division protein ZapD
chr,NC_011294.1,164618,165238,-,-,-,SEN_RS00730,WP_001270913.1,206,dephospho-CoA kinase
chr,NC_011294.1,165464,166507,+,-,-,SEN_RS00735,WP_001217365.1,347,guanosine monophosphate reductase
chr,NC_011294.1,166538,167740,-,-,-,SEN_RS00740,WP_000114102.1,400,type IV pilin biogenesis protein
chr,NC_011294.1,167730,169115,-,-,-,SEN_RS00745,WP_000650595.1,461,type II secretion system protein GspE
chr,NC_011294.1,169125,169562,-,-,-,SEN_RS00750,WP_000414989.1,145,prepilin peptidase-dependent pilin
chr,NC_011294.1,169588,169770,-,-,-,SEN_RS22805,WP_001751867.1,60,hypothetical protein
chr,NC_011294.1,169784,170677,-,-,-,SEN_RS00755,WP_001135135.1,297,nicotinate-nucleotide pyrophosphorylase
chr,NC_011294.1,170765,171328,+,-,-,SEN_RS00760,WP_000936326.1,187,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD"
chr,NC_011294.1,171325,172179,+,-,-,SEN_RS00765,WP_000172039.1,284,beta-lactamase regulator AmpE
chr,NC_011294.1,172271,173221,-,-,-,SEN_RS00770,WP_000024766.1,316,alpha-N-arabinofuranosidase
chr,NC_011294.1,173221,174627,-,-,-,SEN_RS00775,WP_000357537.1,468,MFS transporter
chr,NC_011294.1,174791,176161,-,-,-,SEN_RS00780,WP_000378215.1,456,aromatic amino acid transporter AroP
chr,NC_011294.1,176727,177491,+,-,-,SEN_RS00785,WP_000331771.1,254,MULTISPECIES: pyruvate dehydrogenase complex repressor
chr,NC_011294.1,177651,180314,+,-,-,SEN_RS00790,WP_000003851.1,887,"pyruvate dehydrogenase (acetyl-transferring), homodimeric type"
chr,NC_011294.1,180329,182212,+,-,aceF,SEN_RS00795,WP_000963608.1,627,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase
chr,NC_011294.1,182414,183838,+,-,-,SEN_RS00800,WP_001519338.1,474,MULTISPECIES: dihydrolipoyl dehydrogenase
chr,NC_011294.1,184127,184411,+,-,-,SEN_RS00805,WP_000765366.1,94,hypothetical protein
chr,NC_011294.1,184449,185240,-,-,-,SEN_RS00810,WP_000757445.1,263,DUF2950 family protein
chr,NC_011294.1,185253,186875,-,-,-,SEN_RS00815,WP_000174534.1,540,DUF3300 domain-containing protein
chr,NC_011294.1,187264,189861,+,-,-,SEN_RS00820,WP_000888953.1,865,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
chr,NC_011294.1,189901,190365,-,-,-,SEN_RS00825,WP_000110438.1,154,membrane protein
chr,NC_011294.1,190783,191106,-,-,-,SEN_RS00830,WP_001101536.1,107,hypothetical protein
chr,NC_011294.1,191377,191739,+,-,-,SEN_RS00835,WP_000384308.1,120,UPF0231 family protein
chr,NC_011294.1,191974,192927,+,-,-,SEN_RS00840,WP_001022092.1,317,2-keto-3-deoxygluconate permease 1
chr,NC_011294.1,192924,194195,+,-,-,SEN_RS00845,WP_000783302.1,423,membrane protein
chr,NC_011294.1,194185,195168,+,-,-,SEN_RS00850,WP_000448745.1,327,4-hydroxythreonine-4-phosphate dehydrogenase 2
chr,NC_011294.1,195178,195945,+,-,-,SEN_RS00855,WP_000678254.1,255,DeoR/GlpR transcriptional regulator
chr,NC_011294.1,195975,196769,-,-,-,SEN_RS00860,WP_000734294.1,264,S-adenosylmethionine decarboxylase proenzyme
chr,NC_011294.1,196790,197650,-,-,-,SEN_RS00865,WP_000829968.1,286,polyamine aminopropyltransferase
chr,NC_011294.1,197757,198104,-,-,-,SEN_RS00870,WP_000846613.1,115,MULTISPECIES: hypothetical protein
chr,NC_011294.1,198306,199916,+,-,-,SEN_RS00875,WP_000946053.1,536,multicopper oxidase CueO
chr,NC_011294.1,199994,202384,-,-,-,SEN_RS00880,WP_000829727.1,796,"membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family"
chr,NC_011294.1,202590,203126,+,-,-,SEN_RS00885,WP_000683343.1,178,hypoxanthine phosphoribosyltransferase
chr,NC_011294.1,203184,203846,-,-,-,SEN_RS00890,WP_000651591.1,220,carbonate dehydratase
chr,NC_011294.1,203955,204881,+,-,-,SEN_RS00895,WP_000150619.1,308,ABC transporter ATP-binding protein
chr,NC_011294.1,204878,205648,+,-,-,SEN_RS00900,WP_000983418.1,256,ABC transporter permease
chr,NC_011294.1,205768,206847,-,-,-,SEN_RS00905,WP_000794041.1,359,fimbrial protein
chr,NC_011294.1,206856,209402,-,-,-,SEN_RS00910,WP_001231784.1,848,fimbrial outer membrane usher protein
chr,NC_011294.1,209429,210112,-,-,-,SEN_RS00915,WP_001086413.1,227,fimbrial assembly chaperone
chr,NC_011294.1,210160,210699,-,-,-,SEN_RS00920,WP_000777530.1,179,fimbrial protein StiA
chr,NC_011294.1,211069,211509,+,-,-,SEN_RS00925,WP_000901960.1,146,PTS sugar transporter subunit IIA
chr,NC_011294.1,211571,212800,+,-,-,SEN_RS00930,WP_000245312.1,409,polysaccharide deacetylase family protein
chr,NC_011294.1,212807,213187,-,-,-,SEN_RS00935,WP_000621526.1,126,MULTISPECIES: aspartate 1-decarboxylase
chr,NC_011294.1,213282,214136,-,-,-,SEN_RS00940,WP_000905348.1,284,pantoate--beta-alanine ligase
chr,NC_011294.1,214262,215053,-,-,-,SEN_RS00945,WP_000805487.1,263,3-methyl-2-oxobutanoate hydroxymethyltransferase
chr,NC_011294.1,215174,215653,-,-,-,SEN_RS00950,WP_000150770.1,159,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
chr,NC_011294.1,215650,217068,-,-,-,SEN_RS00955,WP_000174622.1,472,polynucleotide adenylyltransferase PcnB
chr,NC_011294.1,217209,218105,-,-,-,SEN_RS00960,WP_001677011.1,298,tRNA glutamyl-Q(34) synthetase GluQRS
chr,NC_011294.1,218174,218629,-,-,-,SEN_RS00965,WP_001155232.1,151,MULTISPECIES: RNA polymerase-binding transcription factor DksA
chr,NC_011294.1,218806,219510,-,-,-,SEN_RS00970,WP_000899412.1,234,DNA/RNA nuclease SfsA
chr,NC_011294.1,219527,220057,-,-,-,SEN_RS00975,WP_001294178.1,176,"RNA 2\',3\'-cyclic phosphodiesterase"
chr,NC_011294.1,220085,222559,+,-,-,SEN_RS00980,WP_000938539.1,824,ATP-dependent helicase HrpB
chr,NC_011294.1,222700,225222,+,-,-,SEN_RS00985,WP_000918127.1,840,bifunctional glycosyl transferase/transpeptidase
chr,NC_011294.1,225515,227758,+,-,-,SEN_RS00990,WP_000113212.1,747,ferrichrome porin FhuA
chr,NC_011294.1,227807,228604,+,-,-,SEN_RS00995,WP_001157197.1,265,Fe3+-hydroxamate ABC transporter ATP-binding protein FhuC
chr,NC_011294.1,228604,229494,+,-,-,SEN_RS01000,WP_001205361.1,296,Fe(3+)-hydroxamate ABC transporter substrate-binding protein FhuD
chr,NC_011294.1,229491,231548,+,-,-,SEN_RS01005,WP_000088089.1,685,Fe(3+)-hydroxamate ABC transporter permease FhuB
chr,NC_011294.1,231585,231791,+,-,-,SEN_RS22815,WP_001526021.1,68,hypothetical protein
chr,NC_011294.1,232485,233045,+,-,-,SEN_RS01010,WP_001090556.1,186,fimbrial major subunit StfA
chr,NC_011294.1,233131,235788,+,-,-,SEN_RS01015,WP_000951681.1,885,outer membrane usher protein
chr,NC_011294.1,235806,236558,+,-,-,SEN_RS01020,WP_000987333.1,250,fimbrial chaperone StfD
chr,NC_011294.1,236577,237089,+,-,-,SEN_RS01025,WP_001250315.1,170,hypothetical protein
chr,NC_011294.1,237086,237562,+,-,-,SEN_RS01030,WP_000738037.1,158,fimbrial minor subunit StfF
chr,NC_011294.1,237562,238092,+,-,-,SEN_RS01035,WP_001129315.1,176,fimbrial protein
chr,NC_011294.1,238092,238931,+,-,-,SEN_RS01040,WP_001669135.1,279,DUF2544 domain-containing protein
chr,NC_011294.1,239039,240319,-,-,-,SEN_RS01045,WP_000045254.1,426,"glutamate-1-semialdehyde 2,1-aminomutase"
chr,NC_011294.1,240489,241910,+,-,-,SEN_RS01050,WP_000845439.1,473,ClC family H(+)/Cl(-) exchange transporter
chr,NC_011294.1,241992,242336,+,-,-,SEN_RS01055,WP_001278668.1,114,MULTISPECIES: iron-sulfur cluster insertion protein ErpA
chr,NC_011294.1,242437,243060,-,-,-,SEN_RS01060,WP_000964234.1,207,MULTISPECIES: hypothetical protein
chr,NC_011294.1,243097,243897,-,-,-,SEN_RS01065,WP_001118838.1,266,cobalamin-binding protein
chr,NC_011294.1,243890,244588,-,-,-,SEN_RS01070,WP_000689824.1,232,5\'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
chr,NC_011294.1,244673,246190,+,-,-,SEN_RS01075,WP_000146451.1,505,dGTPase
chr,NC_011294.1,246320,247747,+,-,-,SEN_RS01080,WP_000753958.1,475,MULTISPECIES: periplasmic serine endoprotease DegP
chr,NC_011294.1,247900,249057,+,-,-,SEN_RS01085,WP_000929459.1,385,CdaR family transcriptional regulator
chr,NC_011294.1,249114,252146,-,-,-,SEN_RS01090,WP_000191143.1,1010,viral enhancing factor
chr,NC_011294.1,252332,252718,-,-,-,SEN_RS01095,WP_000272193.1,128,MULTISPECIES: DUF3461 family protein
chr,NC_011294.1,252965,254266,+,-,-,SEN_RS01100,WP_000017181.1,433,MFS transporter
chr,NC_011294.1,254303,255127,-,-,-,SEN_RS01105,WP_001186670.1,274,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
chr,NC_011294.1,255157,257829,-,-,-,SEN_RS01110,WP_001094519.1,890,bifunctional uridylyltransferase/uridylyl-removing protein
chr,NC_011294.1,258067,258861,-,-,-,SEN_RS01115,WP_001018214.1,264,methionine aminopeptidase
chr,NC_011294.1,259312,260037,+,-,-,SEN_RS01120,WP_000246886.1,241,30S ribosomal protein S2
chr,NC_011294.1,260295,261146,+,-,-,SEN_RS01125,WP_000808106.1,283,elongation factor Ts
chr,NC_011294.1,261291,262016,+,-,-,SEN_RS01130,WP_000224567.1,241,MULTISPECIES: UMP kinase
chr,NC_011294.1,262163,262720,+,-,-,SEN_RS01135,WP_000622423.1,185,MULTISPECIES: ribosome-recycling factor
chr,NC_011294.1,262861,264057,+,-,-,SEN_RS01140,WP_000811903.1,398,1-deoxy-D-xylulose-5-phosphate reductoisomerase
chr,NC_011294.1,264140,264343,+,-,-,SEN_RS22825,WP_014343956.1,67,hypothetical protein
chr,NC_011294.1,264370,265128,+,-,-,SEN_RS01145,WP_000947413.1,252,"ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)"
